,Unnamed: 0,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,R2,area,sign,experimenter,onBF,SU,animal,task,R2_diff,MIbeh_only,sig_state,sig_any,sig_ubeh,sig_upup,sig_obeh
547,547.0,AMT018a-13-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,-0.015813074999277726,98.4687,0.4691112061313757,0.024996487130025183,-0.0024908948469074665,-0.022753206779470302,0.0,active,0.22006532371803406,A1,TBD,DS,TBD,True,AMT,TIN,-0.00815573869133207,-0.014333677839069988,False,True,False,False,False
185,185.0,AMT018a-13-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.0014793971602077387,98.4687,0.4777248815054185,0.02514559799678504,-0.012170898339802592,0.14308611360033344,0.0,active,0.22822106240936613,A1,TBD,DS,TBD,True,AMT,TIN,-0.00815573869133207,-0.014333677839069988,False,True,False,False,False
546,546.0,AMT018a-13-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,98.4687,0.4691112061313757,0.024996487130025183,0.09178890446021973,1.0075922021549095,0.0,baseline,0.22006532371803406,A1,TBD,DS,TBD,True,AMT,TIN,-0.00815573869133207,-0.014333677839069988,False,True,False,False,False
184,184.0,AMT018a-13-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,98.4687,0.4777248815054185,0.02514559799678504,0.10021880466165828,0.88765423648599,0.0,baseline,0.22822106240936613,A1,TBD,DS,TBD,True,AMT,TIN,-0.00815573869133207,-0.014333677839069988,False,True,False,False,False
539,539.0,AMT018a-13-2,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,-0.1407464824283469,85.0,0.35754521166516995,0.02354609269106946,-0.011711201597350378,-0.2367022375394253,0.0,active,0.12783857838469118,A1,TBD,DS,TBD,False,AMT,TIN,-0.006928993207913292,-0.1434694152065141,False,True,False,False,False
189,189.0,AMT018a-13-2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0027229327781672034,85.0,0.3671070301596041,0.025410722466560013,0.002509243023036216,-0.03789011714144001,0.0,active,0.13476757159260447,A1,TBD,DS,TBD,False,AMT,TIN,-0.006928993207913292,-0.1434694152065141,False,True,False,False,False
538,538.0,AMT018a-13-2,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,85.0,0.35754521166516995,0.02354609269106946,0.046626966943692436,1.0795766877354454,0.0,baseline,0.12783857838469118,A1,TBD,DS,TBD,False,AMT,TIN,-0.006928993207913292,-0.1434694152065141,False,True,False,False,False
188,188.0,AMT018a-13-2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,85.0,0.3671070301596041,0.025410722466560013,0.04080527546678514,1.0284863570009657,0.0,baseline,0.13476757159260447,A1,TBD,DS,TBD,False,AMT,TIN,-0.006928993207913292,-0.1434694152065141,False,True,False,False,False
551,551.0,AMT018a-15-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.035209823689286136,96.8888,0.9459944646576876,0.0056382402672055226,0.012342777157066586,0.035281786386778966,0.0,active,0.8949055271629849,A1,TBD,DS,TBD,True,AMT,TIN,-0.00016297999420789022,0.031165338505811255,False,True,False,False,False
187,187.0,AMT018a-15-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0040444851834748816,96.8888,0.9460806028860294,0.0057329506730028675,0.009012614539573936,-0.004376502908718495,0.0,active,0.8950685071571928,A1,TBD,DS,TBD,True,AMT,TIN,-0.00016297999420789022,0.031165338505811255,False,True,False,False,False
550,550.0,AMT018a-15-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,96.8888,0.9459944646576876,0.0056382402672055226,0.019577609090272133,0.9877234896560728,0.0,baseline,0.8949055271629849,A1,TBD,DS,TBD,True,AMT,TIN,-0.00016297999420789022,0.031165338505811255,False,True,False,False,False
186,186.0,AMT018a-15-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,96.8888,0.9460806028860294,0.0057329506730028675,0.01692621416500474,1.003270817968393,0.0,baseline,0.8950685071571928,A1,TBD,DS,TBD,True,AMT,TIN,-0.00016297999420789022,0.031165338505811255,False,True,False,False,False
