,cellid,modelname,state_sig,state_chan,MI,r,r_se,d,g,state_chan_alt
66,btn120b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.7550880816264998,0.025857845680777494,0.6038239826733107,1.0718806040531874,baseline
67,btn120b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.002932423670837452,0.7550880816264998,0.025857845680777494,0.040545153256103535,-0.0871029618489325,ACTIVE_1
68,btn120a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9563698571843359,0.004112016533036612,1.7953981907306589,1.000975742301502,baseline
69,btn120a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-1.42479186772102e-05,0.9563698571843359,0.004112016533036612,-0.018201792139322125,-0.001476901827679756,ACTIVE_1
70,btn119b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8031349420621176,0.01848377454622458,0.8967655634854831,1.0121233310232105,baseline
71,btn119b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00023874879741907633,0.8031349420621176,0.01848377454622458,0.008527001762016147,-0.017225555789950178,ACTIVE_1
72,btn119a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8088499097812276,0.011165401162084825,0.9294815702626138,1.0041919021855368,baseline
73,btn119a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,1.7222573578349756e-05,0.8088499097812276,0.011165401162084825,-0.007549539146665511,-0.0067720089802995,ACTIVE_1
74,btn117f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.7848325788180601,0.009999595976325496,0.6840570201302936,1.0052232995993737,baseline
75,btn117f-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,2.1109429211619568e-05,0.7848325788180601,0.009999595976325496,0.018655888046439313,-0.007835522953537453,ACTIVE_0
76,btn116a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.91909800803615,0.0046629263845789914,0.29684168112470827,0.9832069058801857,baseline
77,btn116a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.0001728260696757567,0.91909800803615,0.0046629263845789914,-0.015232557794728615,0.025750924186876866,ACTIVE_0
78,btn114d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.7709581272657128,0.012606637239090243,0.6369824828101349,1.0062077520926855,baseline
79,btn114d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00022983857786145184,0.7709581272657128,0.012606637239090243,-0.0004796721353761784,-0.009109870847537846,ACTIVE_1
80,btn114b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.7574730332678044,0.012605891045727296,0.5463513653309674,1.0128269775765713,baseline
81,btn114b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,9.656982255337306e-05,0.7574730332678044,0.012605891045727296,0.004776066087422299,-0.019637970779554433,ACTIVE_1
