,A1_cellid,A1_snr,PEG_cellid,PEG_snr
114,TNC014a-31-2,0.04520675952149777,ARM024a-43-1,0.04491835484018439
115,TNC014a-31-2,0.04520675952149777,ARM017a-25-2,0.045140671653974916
116,TNC017a-37-1,0.04599405813199097,ARM025a-22-1,0.04601322250438356
117,DRX008b-96-2,0.046956127492650636,ARM025a-37-2,0.0468970880287952
118,TNC016a-52-1,0.047230440385701386,ARM027a-55-2,0.04726136366261687
119,TNC016a-52-1,0.047230440385701386,ARM024a-51-1,0.047309860954120674
120,ARM032a-22-6,0.04792701504437672,ARM021b-60-5,0.047942128534233804
121,TNC020a-34-2,0.04958472602733285,ARM018a-40-1,0.049314456366405614
122,TNC020a-34-2,0.04958472602733285,ARM022b-05-6,0.04975489913598207
123,TNC017a-48-1,0.050372754878994994,ARM021b-56-2,0.050607470158553734
124,TNC017a-48-1,0.050372754878994994,ARM028b-15-1,0.05072955478989633
125,ARM029a-09-5,0.051117115073857515,ARM028b-14-1,0.05078823565294704
126,ARM029a-09-5,0.051117115073857515,ARM019a-12-1,0.05109908669590189
127,TNC016a-22-3,0.052082220201110425,ARM021b-55-4,0.05207192137818336
128,TNC015a-37-2,0.05236227190394902,ARM017a-11-3,0.05229491074122557
129,TNC015a-37-2,0.05236227190394902,ARM026b-15-2,0.05232751254932198
130,TNC020a-30-1,0.053348019969701684,ARM021b-19-3,0.05345247929789703
131,DRX006b-28-2,0.0544572996035316,ARM024a-50-1,0.05440633273467463
132,DRX006b-22-2,0.055048855014036537,ARM025a-40-2,0.05487229966643952
133,DRX008b-103-2,0.055670415010011916,ARM022b-09-4,0.05568587499023777
134,DRX007a-70-2,0.05581068263673847,ARM017a-13-3,0.0558995318330342
135,DRX008b-108-1,0.05689632089904925,ARM025a-16-2,0.056500221976448335
136,DRX008b-82-1,0.057250912699887566,ARM024a-36-2,0.057100339260738785
137,DRX007a-03-2,0.05748403503677332,ARM019a-33-1,0.057462130686990937
138,DRX007a-03-2,0.05748403503677332,ARM017a-07-6,0.05756783818562885
139,TNC008a-19-3,0.05787174146826221,ARM018a-28-1,0.05775878303284316
140,DRX008b-121-5,0.058759241577188474,ARM025a-12-2,0.058760054863534125
141,DRX006b-57-2,0.058869728911292815,ARM019a-06-3,0.05906701448469956
142,ARM029a-25-4,0.05927116659756114,ARM021b-09-7,0.05910303508610745
143,DRX008b-07-1,0.059664726775516826,ARM018a-45-2,0.05951893981154398
144,DRX008b-07-1,0.059664726775516826,ARM025a-23-1,0.059554326016225685
145,DRX008b-07-1,0.059664726775516826,ARM018a-45-1,0.05964051556333911
146,DRX008b-07-1,0.059664726775516826,ARM019a-48-1,0.05979117726055885
147,TNC017a-25-1,0.06033826119136045,ARM023a-42-1,0.0601470237821515
148,TNC017a-25-1,0.06033826119136045,ARM024a-42-2,0.06054944453022984
149,TNC017a-25-1,0.06033826119136045,ARM024a-16-1,0.06066086730174071
